date,checkin,property_key,property_name,source,own_price_min,own_price_median,own_price_max,room_basis,meal_basis,price_confidence,coverage_status,latest_collected_at_jst
2026-06-16,2026-07-15,miuraya,三浦屋,jalan,19663,19663,19663,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T18:00:06+09:00
2026-06-21,2026-07-15,miuraya,三浦屋,booking,14553,14553,14553,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T02:00:06+09:00
2026-06-16,2026-07-16,miuraya,三浦屋,jalan,17248,17248,17248,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T22:00:06+09:00
2026-06-21,2026-07-16,miuraya,三浦屋,booking,14553,14553,14553,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T02:00:06+09:00
2026-06-20,2026-07-17,miuraya,三浦屋,jalan,16632,16632,16632,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T18:00:05+09:00
2026-06-21,2026-07-17,miuraya,三浦屋,booking,15592,15592,15592,confirmed_two_person_standard_room,assumed_room_only,high,critical,2026-06-21T06:00:06+09:00
2026-06-20,2026-07-18,miuraya,三浦屋,jalan,22880,22880,22880,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T16:00:01+09:00
2026-06-15,2026-07-18,miuraya,三浦屋,booking,21450,21450,21450,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T10:00:06+09:00
2026-06-21,2026-07-19,miuraya,三浦屋,jalan,24288,24288,41290,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T20:00:05+09:00
2026-06-15,2026-07-19,miuraya,三浦屋,booking,22770,22770,22770,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T12:00:05+09:00
2026-06-20,2026-07-20,miuraya,三浦屋,jalan,19712,19712,19712,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T14:00:06+09:00
2026-06-15,2026-07-20,miuraya,三浦屋,booking,18480,18480,18480,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T12:00:05+09:00
2026-06-21,2026-07-21,miuraya,三浦屋,jalan,17248,17248,17248,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T14:00:06+09:00
2026-06-20,2026-07-25,miuraya,三浦屋,jalan,20240,20240,20240,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T22:00:06+09:00
2026-06-15,2026-07-25,miuraya,三浦屋,booking,18975,18975,18975,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T14:00:05+09:00
2026-06-21,2026-08-01,miuraya,三浦屋,jalan,21472,21472,21472,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T12:00:05+09:00
2026-06-15,2026-08-01,miuraya,三浦屋,booking,20130,20130,20130,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T14:00:05+09:00
2026-06-21,2026-08-08,miuraya,三浦屋,jalan,21472,21472,21472,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T14:00:06+09:00
2026-06-15,2026-08-08,miuraya,三浦屋,booking,20130,20130,20130,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T16:00:05+09:00
2026-06-20,2026-08-09,miuraya,三浦屋,jalan,23760,23760,23760,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T22:00:06+09:00
2026-06-15,2026-08-09,miuraya,三浦屋,booking,22275,22275,22275,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T16:00:05+09:00
2026-06-13,2026-08-10,kiraku,ホテル喜らく,jalan,24000,28530,31700,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-13T09:00:05+09:00
2026-06-15,2026-08-10,miuraya,三浦屋,booking,21450,21450,21450,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T18:00:05+09:00
2026-06-20,2026-08-10,miuraya,三浦屋,jalan,22880,22880,22880,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T16:00:01+09:00
2026-06-15,2026-08-11,miuraya,三浦屋,booking,22770,22770,22770,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T18:00:05+09:00
2026-06-21,2026-08-11,miuraya,三浦屋,jalan,24288,24288,24288,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T04:00:05+09:00
2026-06-15,2026-08-12,miuraya,三浦屋,booking,21120,21120,21120,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T20:00:05+09:00
2026-06-21,2026-08-12,miuraya,三浦屋,jalan,22528,22528,22528,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T18:00:06+09:00
2026-06-15,2026-08-13,miuraya,三浦屋,booking,23925,23925,23925,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T20:00:05+09:00
2026-06-21,2026-08-13,miuraya,三浦屋,jalan,25520,25520,25520,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T00:00:01+09:00
2026-06-14,2026-08-14,miuraya,三浦屋,booking,25575,25575,25575,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-14T20:00:06+09:00
2026-06-21,2026-08-14,miuraya,三浦屋,jalan,27280,27280,27280,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T00:00:01+09:00
2026-06-14,2026-08-15,miuraya,三浦屋,booking,25575,25575,25575,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-14T20:00:06+09:00
2026-06-20,2026-08-15,miuraya,三浦屋,jalan,27280,27280,27280,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-20T20:00:06+09:00
2026-06-14,2026-08-16,miuraya,三浦屋,booking,19800,19800,19800,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-14T22:00:06+09:00
2026-06-21,2026-08-16,miuraya,三浦屋,jalan,21120,21120,21120,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T02:00:06+09:00
2026-06-14,2026-08-22,miuraya,三浦屋,booking,19470,19470,19470,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-14T22:00:06+09:00
2026-06-21,2026-08-22,miuraya,三浦屋,jalan,20768,20768,20768,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T02:00:06+09:00
2026-06-15,2026-08-29,miuraya,三浦屋,booking,19470,19470,19470,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T00:00:02+09:00
2026-06-21,2026-08-29,miuraya,三浦屋,jalan,20768,20768,20768,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T04:00:05+09:00
2026-06-15,2026-09-05,miuraya,三浦屋,booking,19470,19470,19470,probable_two_person_standard_room,assumed_room_only,medium,critical,2026-06-15T00:00:02+09:00
2026-06-21,2026-09-05,miuraya,三浦屋,jalan,20768,20768,20768,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T06:00:06+09:00
2026-06-21,2026-09-12,miuraya,三浦屋,jalan,20768,20768,20768,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T06:00:06+09:00
2026-06-16,2026-09-19,kiraku,ホテル喜らく,jalan,29900,29900,29900,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T08:00:05+09:00
2026-06-21,2026-09-19,miuraya,三浦屋,jalan,24992,24992,24992,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T08:00:06+09:00
2026-06-16,2026-09-20,kiraku,ホテル喜らく,jalan,31100,31100,31100,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T12:00:05+09:00
2026-06-21,2026-09-20,miuraya,三浦屋,jalan,24992,24992,24992,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T08:00:06+09:00
2026-06-16,2026-09-21,kiraku,ホテル喜らく,jalan,29900,29900,29900,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T10:00:06+09:00
2026-06-21,2026-09-21,miuraya,三浦屋,jalan,24288,24288,24288,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T10:00:06+09:00
2026-06-16,2026-09-22,kiraku,ホテル喜らく,jalan,29400,29400,29400,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T10:00:06+09:00
2026-06-21,2026-09-22,miuraya,三浦屋,jalan,22880,22880,22880,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T10:00:06+09:00
2026-06-16,2026-09-23,kiraku,ホテル喜らく,jalan,28800,28800,28800,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T02:00:06+09:00
2026-06-16,2026-10-10,kiraku,ホテル喜らく,jalan,31100,31100,31100,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T02:00:06+09:00
2026-06-21,2026-10-10,miuraya,三浦屋,jalan,24992,24992,24992,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T12:00:05+09:00
2026-06-16,2026-10-11,kiraku,ホテル喜らく,jalan,31100,31100,31100,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T04:00:06+09:00
2026-06-21,2026-10-11,miuraya,三浦屋,jalan,24288,24288,24288,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T18:00:06+09:00
2026-06-16,2026-10-12,kiraku,ホテル喜らく,jalan,28800,28800,28800,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T04:00:06+09:00
2026-06-16,2026-10-17,kiraku,ホテル喜らく,jalan,28800,28800,28800,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T12:00:05+09:00
2026-06-21,2026-10-17,miuraya,三浦屋,jalan,23760,23760,23760,confirmed_two_person_standard_room,confirmed_room_only,high,critical,2026-06-21T20:00:05+09:00
2026-06-16,2026-10-24,kiraku,ホテル喜らく,jalan,28800,28800,28800,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T14:00:06+09:00
2026-06-14,2026-10-24,miuraya,三浦屋,jalan,23760,23760,23760,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-14T20:00:06+09:00
2026-06-16,2026-10-31,kiraku,ホテル喜らく,jalan,28800,28800,28800,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-16T22:00:06+09:00
2026-06-14,2026-10-31,miuraya,三浦屋,jalan,23760,23760,23760,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-14T20:00:06+09:00
2026-06-14,2026-11-07,miuraya,三浦屋,jalan,19712,19712,19712,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-14T22:00:06+09:00
2026-06-14,2026-11-21,miuraya,三浦屋,jalan,22528,22528,22528,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-14T22:00:06+09:00
2026-06-15,2026-11-22,miuraya,三浦屋,jalan,21472,21472,21472,unknown_room_basis,unknown_meal_basis,low,critical,2026-06-15T00:00:02+09:00
