checkin,movement_sample_count,weighted_sample_count,price_up_count,price_down_count,sold_out_transition_count,newly_available_count,noise_count,dp_pressure_score_raw,dp_pressure_score_normalized,dp_pressure_level,dp_pressure_reason,latest_collected_at_jst
2026-08-16,18,14.16,4,2,1,0,11,1.72,0.1215,neutral,"up=4,down=2,sold_out=1,newly_available=0,weighted=14.16 (inventory/DP pressure proxy)",2026-07-21T08:00:06+09:00
2026-08-17,9,7.08,2,2,0,0,5,-0.64,-0.0904,neutral,"up=2,down=2,sold_out=0,newly_available=0,weighted=7.08 (inventory/DP pressure proxy)",2026-07-21T08:00:06+09:00
2026-08-18,4,4,0,2,0,0,2,-2,-0.5,downward_pressure,"up=0,down=2,sold_out=0,newly_available=0,weighted=4.00 (inventory/DP pressure proxy)",2026-07-21T06:00:06+09:00
2026-08-19,1,0.36,1,0,0,0,0,0.36,0.36,moderate_upward_pressure,"up=1,down=0,sold_out=0,newly_available=0,weighted=0.36 (inventory/DP pressure proxy)",2026-07-21T02:00:06+09:00
2026-08-21,8,6.08,2,0,0,0,6,2,0.3289,moderate_upward_pressure,"up=2,down=0,sold_out=0,newly_available=0,weighted=6.08 (inventory/DP pressure proxy)",2026-07-20T20:00:06+09:00
2026-08-22,17,13.16,3,3,1,0,10,0.36,0.0274,neutral,"up=3,down=3,sold_out=1,newly_available=0,weighted=13.16 (inventory/DP pressure proxy)",2026-07-21T00:00:01+09:00
2026-08-23,7,4.44,1,1,0,0,5,0,0,neutral,"up=1,down=1,sold_out=0,newly_available=0,weighted=4.44 (inventory/DP pressure proxy)",2026-07-21T04:00:06+09:00
2026-08-28,7,5.72,2,3,0,0,2,-1.64,-0.2867,downward_pressure,"up=2,down=3,sold_out=0,newly_available=0,weighted=5.72 (inventory/DP pressure proxy)",2026-07-21T06:00:06+09:00
2026-08-29,14,10.8,3,2,1,0,8,0.72,0.0667,neutral,"up=3,down=2,sold_out=1,newly_available=0,weighted=10.80 (inventory/DP pressure proxy)",2026-07-21T04:00:06+09:00
2026-08-30,3,1.72,0,1,0,0,2,-1,-0.5814,downward_pressure,"up=0,down=1,sold_out=0,newly_available=0,weighted=1.72 (inventory/DP pressure proxy)",2026-07-21T04:00:06+09:00
2026-09-04,1,1,0,0,0,0,1,0,0,neutral,"up=0,down=0,sold_out=0,newly_available=0,weighted=1.00 (inventory/DP pressure proxy)",2026-07-18T08:00:06+09:00
2026-09-05,9,6.44,0,1,2,0,6,0.36,0.0559,neutral,"up=0,down=1,sold_out=2,newly_available=0,weighted=6.44 (inventory/DP pressure proxy)",2026-07-20T20:00:06+09:00
2026-09-12,7,5.08,0,1,2,0,4,0.54,0.1063,neutral,"up=0,down=1,sold_out=2,newly_available=0,weighted=5.08 (inventory/DP pressure proxy)",2026-07-20T16:00:06+09:00
2026-09-19,8,7.36,0,1,1,0,6,-0.64,-0.087,neutral,"up=0,down=1,sold_out=1,newly_available=0,weighted=7.36 (inventory/DP pressure proxy)",2026-07-20T18:00:06+09:00
2026-09-20,6,4.72,0,1,1,0,4,-0.64,-0.1356,neutral,"up=0,down=1,sold_out=1,newly_available=0,weighted=4.72 (inventory/DP pressure proxy)",2026-07-21T00:00:01+09:00
2026-09-21,6,4.72,0,0,2,0,4,0.72,0.1525,neutral,"up=0,down=0,sold_out=2,newly_available=0,weighted=4.72 (inventory/DP pressure proxy)",2026-07-21T02:00:06+09:00
2026-09-22,5,4.36,0,2,1,0,2,-1.64,-0.3761,downward_pressure,"up=0,down=2,sold_out=1,newly_available=0,weighted=4.36 (inventory/DP pressure proxy)",2026-07-20T16:00:06+09:00
2026-09-23,4,3.36,0,0,0,0,4,0,0,neutral,"up=0,down=0,sold_out=0,newly_available=0,weighted=3.36 (inventory/DP pressure proxy)",2026-07-20T14:00:06+09:00
2026-09-26,3,3,1,0,0,0,2,1,0.3333,moderate_upward_pressure,"up=1,down=0,sold_out=0,newly_available=0,weighted=3.00 (inventory/DP pressure proxy)",2026-07-20T16:00:06+09:00
2026-10-03,2,2,0,0,0,0,2,0,0,neutral,"up=0,down=0,sold_out=0,newly_available=0,weighted=2.00 (inventory/DP pressure proxy)",2026-07-20T16:00:06+09:00
2026-10-10,3,3,0,1,0,0,2,-1,-0.3333,downward_pressure,"up=0,down=1,sold_out=0,newly_available=0,weighted=3.00 (inventory/DP pressure proxy)",2026-07-20T20:00:06+09:00
2026-10-11,3,3,1,0,1,0,1,1.5,0.5,moderate_upward_pressure,"up=1,down=0,sold_out=1,newly_available=0,weighted=3.00 (inventory/DP pressure proxy)",2026-07-20T22:00:06+09:00
2026-10-12,2,2,1,1,0,0,0,0,0,neutral,"up=1,down=1,sold_out=0,newly_available=0,weighted=2.00 (inventory/DP pressure proxy)",2026-07-20T22:00:06+09:00
2026-10-17,2,2,1,0,0,0,1,1,0.5,moderate_upward_pressure,"up=1,down=0,sold_out=0,newly_available=0,weighted=2.00 (inventory/DP pressure proxy)",2026-07-20T04:00:06+09:00
2026-10-24,4,4,0,2,0,0,2,-2,-0.5,downward_pressure,"up=0,down=2,sold_out=0,newly_available=0,weighted=4.00 (inventory/DP pressure proxy)",2026-07-21T04:00:06+09:00
2026-10-31,2,2,0,1,0,0,1,-1,-0.5,downward_pressure,"up=0,down=1,sold_out=0,newly_available=0,weighted=2.00 (inventory/DP pressure proxy)",2026-07-20T06:00:06+09:00
2026-11-07,2,2,0,1,0,0,1,-1,-0.5,downward_pressure,"up=0,down=1,sold_out=0,newly_available=0,weighted=2.00 (inventory/DP pressure proxy)",2026-07-20T08:00:06+09:00
2026-11-21,1,1,0,0,0,0,1,0,0,neutral,"up=0,down=0,sold_out=0,newly_available=0,weighted=1.00 (inventory/DP pressure proxy)",2026-07-15T18:00:06+09:00
2026-11-22,1,1,0,0,0,0,1,0,0,neutral,"up=0,down=0,sold_out=0,newly_available=0,weighted=1.00 (inventory/DP pressure proxy)",2026-07-15T22:00:05+09:00
