property,display_name,price_source_type,is_ota_price,is_pms_price,coverage_30d,coverage_45d,coverage_90d,status,latest_collected_at_jst,missing_dates_30d_count,booking_live_supported,booking_coverage_30d,booking_coverage_45d,booking_coverage_90d,booking_latest_collected_at_jst,jalan_live_supported,jalan_coverage_30d,jalan_coverage_45d,jalan_coverage_90d,jalan_latest_collected_at_jst,rakuten_live_supported,rakuten_coverage_30d,rakuten_coverage_45d,rakuten_coverage_90d,rakuten_latest_collected_at_jst,warnings,reasons
miuraya,三浦屋 / Miuraya,ota_display_price,true,false,1,0.7333,0.4889,critical,2026-08-06T13:35:06+09:00,0,true,1,0.7111,0.3556,2026-08-06T13:35:06+09:00,false,0.8667,0.6444,0.4444,2026-08-06T08:00:06+09:00,false,0,0,0,,jalan_live_collection_not_connected;coverage_90d_below_0.8,coverage_45d_below_0.9
kiraku,喜らく / ZAO SPA HOTEL Kiraku,ota_display_price,true,false,1,0.8222,0.6,critical,2026-08-06T13:35:06+09:00,0,true,1,0.8222,0.4333,2026-08-06T13:35:06+09:00,false,0.5667,0.5333,0.4556,2026-08-06T06:00:06+09:00,false,0,0,0,,jalan_live_collection_not_connected;coverage_90d_below_0.8,coverage_45d_below_0.9
