target_type,property,display_name,source,checkin,previous_price,latest_price,delta_amount,delta_rate,direction,previous_collected_at_jst,latest_collected_at_jst
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-07-09,18700,11154,-7546,-0.4035,down,2026-07-07T06:00:01+09:00,2026-07-08T06:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-10,11019,12964,1945,0.1765,up,2026-07-08T13:35:06+09:00,2026-07-09T13:35:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-10,19573,23027,3454,0.1765,up,2026-07-08T04:00:06+09:00,2026-07-09T04:00:06+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-07-10,18700,20592,1892,0.1012,up,2026-07-08T12:00:06+09:00,2026-07-09T12:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-11,14359,24086,9727,0.6774,up,2026-06-28T22:00:05+09:00,2026-07-01T14:00:05+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-12,12964,14014,1050,0.081,up,2026-07-10T13:35:06+09:00,2026-07-11T13:35:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-12,23027,18027,-5000,-0.2171,down,2026-07-10T14:00:06+09:00,2026-07-11T14:00:06+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-07-12,18700,20592,1892,0.1012,up,2026-07-10T10:00:01+09:00,2026-07-11T10:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-13,12964,11373,-1591,-0.1227,down,2026-07-11T13:35:06+09:00,2026-07-12T13:35:00+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-13,23027,19800,-3227,-0.1401,down,2026-07-11T14:00:06+09:00,2026-07-12T14:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-14,11074,11070,-4,-0.0004,down,2026-07-12T00:00:06+09:00,2026-07-13T00:00:02+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-14,16841,18738,1897,0.1126,up,2026-07-12T10:00:06+09:00,2026-07-13T01:04:54+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-07-14,18700,11154,-7546,-0.4035,down,2026-07-12T14:00:01+09:00,2026-07-13T01:04:54+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-15,11373,11132,-241,-0.0212,down,2026-07-13T00:00:02+09:00,2026-07-14T13:35:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-15,16827,25300,8473,0.5035,up,2026-07-13T01:04:54+09:00,2026-07-14T06:00:06+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-07-15,18700,20592,1892,0.1012,up,2026-07-13T01:04:54+09:00,2026-07-14T13:35:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-16,11182,11190,8,0.0007,up,2026-07-14T08:00:06+09:00,2026-07-15T13:35:05+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-16,16990,22000,5010,0.2949,up,2026-07-14T13:35:06+09:00,2026-07-15T13:35:05+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-07-16,18700,20592,1892,0.1012,up,2026-07-14T12:00:06+09:00,2026-07-15T13:35:05+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-17,11139,11137,-2,-0.0002,down,2026-07-14T10:00:06+09:00,2026-07-15T10:00:05+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-17,25300,23027,-2273,-0.0898,down,2026-07-15T00:00:05+09:00,2026-07-16T02:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-18,35880,35773,-107,-0.003,down,2026-07-13T18:00:00+09:00,2026-07-15T12:00:07+09:00
competitor,yoshidaya,吉田屋 / 吉田や,booking,2026-07-18,27456,30888,3432,0.125,up,2026-07-11T18:00:05+09:00,2026-07-12T18:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-19,22785,18664,-4121,-0.1809,down,2026-07-14T20:00:08+09:00,2026-07-16T10:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-19,21102,18521,-2581,-0.1223,down,2026-07-14T10:00:06+09:00,2026-07-15T12:00:07+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-20,11192,12964,1772,0.1583,up,2026-07-14T22:00:01+09:00,2026-07-15T22:00:05+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-20,36727,14245,-22482,-0.6121,down,2026-07-04T18:00:06+09:00,2026-07-05T20:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-21,11192,11190,-2,-0.0002,down,2026-07-15T00:00:05+09:00,2026-07-16T00:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-21,32727,14245,-18482,-0.5647,down,2026-07-04T22:00:06+09:00,2026-07-06T00:00:05+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-22,11192,12964,1772,0.1583,up,2026-07-15T00:00:05+09:00,2026-07-16T02:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-23,11165,14014,2849,0.2552,up,2026-07-14T14:00:06+09:00,2026-07-16T04:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-23,25727,14245,-11482,-0.4463,down,2026-07-04T00:00:05+09:00,2026-07-05T08:00:03+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-24,11218,11190,-28,-0.0025,down,2026-07-15T06:00:06+09:00,2026-07-16T06:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-25,17528,22014,4486,0.2559,up,2026-07-15T04:00:06+09:00,2026-07-16T04:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-25,33000,27037,-5963,-0.1807,down,2026-07-14T18:00:06+09:00,2026-07-15T18:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-26,11474,14014,2540,0.2214,up,2026-07-15T08:00:07+09:00,2026-07-16T08:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-26,24200,22027,-2173,-0.0898,down,2026-07-14T18:00:06+09:00,2026-07-16T06:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-27,11132,11156,24,0.0022,up,2026-07-14T14:00:06+09:00,2026-07-15T14:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-27,17770,20027,2257,0.127,up,2026-07-14T20:00:08+09:00,2026-07-16T10:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-28,11190,14014,2824,0.2524,up,2026-07-15T10:00:05+09:00,2026-07-16T10:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-28,17810,24200,6390,0.3588,up,2026-07-13T12:00:06+09:00,2026-07-14T22:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-29,11165,11048,-117,-0.0105,down,2026-07-14T16:00:06+09:00,2026-07-15T16:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-29,17770,16946,-824,-0.0464,down,2026-07-14T22:00:01+09:00,2026-07-16T00:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-30,11192,11190,-2,-0.0002,down,2026-07-14T12:00:06+09:00,2026-07-15T12:00:07+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-30,17815,24200,6385,0.3584,up,2026-07-14T02:00:06+09:00,2026-07-15T04:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-07-31,13191,13189,-2,-0.0002,down,2026-07-14T12:00:06+09:00,2026-07-15T14:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-07-31,16979,18726,1747,0.1029,up,2026-07-13T06:00:06+09:00,2026-07-15T00:00:05+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-01,22785,30014,7229,0.3173,up,2026-07-14T22:00:01+09:00,2026-07-16T02:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-01,28600,27403,-1197,-0.0419,down,2026-07-14T02:00:06+09:00,2026-07-15T02:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-02,13191,16514,3323,0.2519,up,2026-07-14T20:00:08+09:00,2026-07-15T22:00:05+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-02,21358,21371,13,0.0006,up,2026-07-13T20:00:01+09:00,2026-07-15T04:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-03,13191,13189,-2,-0.0002,down,2026-07-14T16:00:06+09:00,2026-07-15T16:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-04,13191,15664,2473,0.1875,up,2026-07-15T02:00:06+09:00,2026-07-16T06:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-04,20612,21326,714,0.0346,up,2026-07-13T16:00:01+09:00,2026-07-15T06:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-05,24200,17585,-6615,-0.2733,down,2026-07-14T18:00:06+09:00,2026-07-15T18:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-05,20629,26093,5464,0.2649,up,2026-07-13T10:00:06+09:00,2026-07-15T06:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-06,24200,19752,-4448,-0.1838,down,2026-07-14T18:00:06+09:00,2026-07-15T18:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-06,22550,21318,-1232,-0.0546,down,2026-07-14T00:00:06+09:00,2026-07-15T08:00:07+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-07,17588,22014,4426,0.2516,up,2026-07-15T02:00:06+09:00,2026-07-16T08:00:01+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-07,22550,28600,6050,0.2683,up,2026-07-13T08:00:06+09:00,2026-07-15T10:00:05+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-08,38893,38560,-333,-0.0086,down,2026-07-13T16:00:01+09:00,2026-07-15T04:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-08,43450,41076,-2374,-0.0546,down,2026-07-14T12:00:06+09:00,2026-07-15T12:00:07+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-09,32430,32450,20,0.0006,up,2026-07-14T02:00:06+09:00,2026-07-15T06:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-09,41213,43450,2237,0.0543,up,2026-07-14T14:00:06+09:00,2026-07-15T14:00:06+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-10,32168,32293,125,0.0039,up,2026-07-14T00:00:06+09:00,2026-07-15T08:00:07+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-10,41076,39527,-1549,-0.0377,down,2026-07-15T10:00:05+09:00,2026-07-16T10:00:01+09:00
competitor,hammond,HAMMOND / ハモンド,booking,2026-08-11,57200,52014,-5186,-0.0907,down,2026-07-14T00:00:06+09:00,2026-07-15T20:00:06+09:00
competitor,oakhill,OAKHILL / オークヒル,booking,2026-08-11,48391,50600,2209,0.0456,up,2026-07-13T18:00:00+09:00,2026-07-15T18:00:06+09:00
